CETX,2.73
CETY,1.87
CEVA,1.87
CF,2.38
CFB,2.75
CFBK,0.3
CFFE,0.01
CFFI,0.3
CFFN,5.19
CFFS,0.01
CFG,3.79
CFIV,0.19
CFLT,8.63
CFMS,2.48
CFR,3.42
CFRX,1.29
CFSB,0.14
CG,7
CGA,0.62
CGAU,0.79
CGBD,0.86
CGC,11.83
CGEM,6.43
CGEN,2.34
CGNT,1.21
CGNX,2.28
CGO,0.06
CGRN,2.68
CGTX,0.33
CHAA,0.01
CHCI,0.04
CHCO,7.08
CHCT,2.15
CHD,1.65
CHDN,2.85
CHE,2.68
CHEF,8.7
CHEK,0.29
CHGG,10.28
CHH,8.46
CHI,0.09
CHK,6.26
CHKP,3.8
CHMG,0.14
CHMI,7.31
CHNR,0.25
CHPT,21.15
CHRD,6.48
CHRS,14.46
CHRW,12.53
CHS,9.16
CHSN,1.76
CHTR,7.32
CHUY,5.05
CHW,0.01
CHWY,23.42
CHX,3.81
CHY,0.02
CI,0.96
CIA,5.3
CIDM,2.7
CIEN,2.87
CIFR,19.38
CIGI,1.6
CIIG,0.05
CIM,3.93
CINF,1.75
CING,3.62
CINT,0.54
CIO,1.46
CION,0.31
CIR,1.26
CISO,5.21
CIVB,0.96
CIVI,7.02
CIX,1.53
CIZN,2.62
CJJD,1.85
CKPT,4.4
CKX,0.17
CL,1.28
CLAR,15.58
CLAY,0.04
CLB,9.09
CLBK,11.11
CLBR,0.13
CLBT,5.84
CLCO,0.01
CLDT,1.16
CLDX,11.01
CLEU,1.71
CLF,5.93
CLFD,16.52
CLGN,0.81
CLH,0.98
CLIR,1.13
CLMB,0.15
CLMT,0.85
CLNE,6.49
CLNN,6.77
CLOE,0.13
CLOV,10.65
CLPR,0.68
CLPS,0.03
CLPT,3.42
CLRB,0.81
CLRO,1.87
CLS,1.52
CLSD,0.48
CLSK,10.69
CLST,0.24
CLVR,1
CLVT,6.78
CLW,1.3
CLWT,0.13
CLX,4.22
CLXT,1.5
CM,1.51
CMA,7.49
CMAX,9.47
CMBM,2.32
CMC,2.09
CMCA,0.01
CMCL,1.27
CMCO,1.11
CMCSA,0.95
CMCT,1.11
CME,1.24
CMG,2.58
CMI,1.65
CMLS,5.19
CMND,13.75
CMP,2.91
CMPO,18.71
CMPR,4.52
CMPX,2.03
CMRA,0.43
CMRE,3.74
CMRX,5.01
CMS,2.52
CMT,0.48
CMTG,1.55
CMTL,1.1
CNA,0.1
CNC,1.46
CNDA,0.04
CNDT,1.31
CNET,0.88
CNEY,0.95
CNFR,0.3
CNGL,4.32
CNHI,1.21
CNI,0.96
CNK,25.49
CNM,12.41
CNMD,13.63
CNNE,2.13
CNO,3.06
CNOB,1.31
CNP,1.37
CNQ,1.64
CNS,5.67
CNSL,3.55
CNSP,2.78
CNTG,0.05
CNTX,0.75
CNTY,1.76
CNVAF,0.03
CNX,16.52
CNXA,2.64
CNXC,2.38
CNXN,1.45
CO,2.09
COCO,4.29
COCP,1.19
CODA,3.99
CODI,1.36
CODX,2.8
COEP,2.35
COF,2.04
COFS,0.6
COGT,8.46
COHN,0.28
COHR,4
COHU,2.44
COIN,20.26
COKE,1.56
COLB,2.75
COLD,1.13
COLL,18.07
COLM,2.8
COMM,6.06
COMP,4.43
COMS,4.16
CONN,16.07
CONX,0.17
COO,2.78
COOK,8.08
COOL,0.1
COOP,4.48
COP,1
CORR,1.54
CORT,19.95
COSM,5.93
COST,0.85
COTY,5.27
COUR,2.94
COYA,0.13
CP,1.66
CPA,6.6
CPAA,0.04
CPB,6.58
CPE,15.74
CPF,2.72
CPG,1.57
CPHC,0.15
CPHI,0.9
CPIX,0.3
CPK,1.15
CPLP,0.27
CPNG,1.19
CPOP,0.94
CPRI,2.99
CPRT,1.05
CPRX,11.03
CPS,6.48
CPSH,0.63
CPSI,1.68
CPSS,16.66
CPT,1.68
CPTK,0.03
CPTN,4.1
CPUH,0.19
CPZ,0.02
CQP,1.01
CR,0.96
CRAI,2.93
CRBG,4.33
CRBP,7.07
CRBU,10.3
CRC,4
CRCT,11.68
CRD.B,0.29
CRDF,1.53
CRDL,0.26
CRDO,7.2
CREC,0.02
CREG,0.17
CREX,1.23
CRGE,4.3
CRGO,0.55
CRGY,17.96
CRI,7.48
CRIS,2.58
CRK,15.15
CRKN,0.45
CRL,2.74
CRM,0.94
CRMD,4.67
CRMT,15.49
CRNC,8.31
CRNT,0.61
CRNX,8.89
CRON,4.47
CROX,8.13
CRS,3.05
CRSP,16.71
CRSR,7.51
CRT,0.56
CRUS,2.51
CRVL,2.69
CRVS,0.63
CRWD,3.64
CRWS,0.21
CSBR,0.62
CSCO,1.18
CSGP,1.32
CSGS,1.66
CSIQ,7.69
CSL,1.59
CSLM,0.02
CSPI,0.25
CSQ,0.14
CSR,1.76
CSSE,8.3
CSTA,0.03
CSTE,3.37
CSTL,3.84
CSTM,1.45
CSTR,1.3
CSV,3.02
CSWC,1.68
CSWI,0.65
CSX,0.97
CTAS,1.42
CTBI,0.88
CTG,0.35
CTGO,0.09
CTHR,0.76
CTIB,0.43
CTIC,12.99
CTKB,6.13
CTLP,1.28
CTLT,3.35
CTM,0.62
CTMX,3.47
CTO,5.16
CTOS,2.13
CTRA,5.51
CTRE,4.45
CTRM,1.94
CTRN,10.94
CTS,2.56
CTSH,1.68
CTSO,1.47
CTV,1.33
CTVA,0.8
CTXR,9.52
CUBA,0.11
CUBE,5.34
CUBI,9.1
CUE,1.64
CUEN,5.59
CULL,0.06
CULP,0.13
CURI,4.22
CURO,6.75
CURV,18.19
CUTR,23.1
CUZ,4.44
CVAC,3.34
CVBF,6.69
CVCO,3.42
CVCY,0.41
CVE,3.75
CVEO,3.7
CVGI,1.48
CVGW,3.97
CVI,2.95
CVII,0.02
CVKD,1.78
CVLG,5.62
CVLT,1.49
CVLY,0.19
CVM,13.29
CVNA,51.06
CVR,0.32
CVRX,3.1
CVS,1
CVT,10.23
CVU,0.32
CVV,1.33
CVX,0.86
CW,1.03
CWAN,14.28
CWBC,0.18
CWBR,1.98
CWCO,0.68
CWEN.A,3.55
CWH,19.23
CWK,11
CWST,2.76
CWT,1.19
CXAC,0.08
CXAI,3.79
CXDO,0.21
CXM,3.72
CXT,4.12
CXW,1.86
CYAN,0.53
CYBN,1.94
CYBR,4.73
CYCC,4.16
CYCN,0.59
CYD,0.13
CYH,8.81
CYN,0.83
CYRX,8.15
CYT,0.79
CYTH,0.62
CYTK,10.29
CYTO,110.21
CYXT,4.54
CZFS,2.31
CZNC,0.92
CZOO,2.77
CZR,3.13
CZWI,0.06
D,0.87
DAC,6.2
DAIO,0.05
DAKT,1.71
DAL,3.98
DALN,1.98
DALS,0.09
DAN,3.12
DAR,2.64
DARE,0.72
DASH,5.41
DATS,0.11
DAVE,5.67
DAWN,15.39
DB,1.39
DBD,22.01
DBGI,1.93
DBI,15.11
DBRG,5.12
DBTX,0.78
DBVT,0.98
DBX,5.44
DC,1.82
DCBO,0.37
DCFC,5.98
DCGO,11.23
DCI,0.86
DCO,0.93
DCOM,4.33
DCP,4.38
DCPH,6.38
DCTH,3.82
DD,2.35
DDD,8.36
DDOG,4.35
DDS,15.85
DE,0.95
DEA,6.84
DECA,0.02
DECK,2.17
DEI,8.37
DELL,3.17
DEN,11.06
DENN,3.03
DERM,0.46
DESP,1.82
DFFN,0.16
DFH,19.71
DFIN,2.88
DFLI,1.62
DFS,1.79
DG,2.15
DGHI,1.34
DGICA,0.85
DGII,5.04
DGLY,7.96
DGX,3.72
DH,13.4
DHAC,0.74
DHCA,0.04
DHI,3.75
DHIL,1.13
DHR,0.69
DHT,3.37
DHX,1.71
DIBS,3.32
DICE,18.53
DIN,9.21
DINO,5.72
DIOD,2.46
DIS,1.05
DISA,0.89
DISH,19.04
DIST,0.18
DIT,0.5
DJCO,1.08
DK,11.92
DKDCA,0.25
DKL,5.18
DKNG,6.89
DKS,13.43
DLA,0.64
DLB,1.5
DLHC,0.38
DLNG,0.02
DLO,10.94
DLPN,0.08
DLR,5.34
DLTH,5.37
DLTR,2.87
DLX,3.78
DM,25.72
DMAC,0.6
DMAQ,0.06
DMLP,0.71
DMRC,19.95
DMS,1.91
DMTK,10.71
DNA,14.18
DNAB,0.03
DNAD,0.28
DNB,4.11
DNLI,7.63
DNMR,16.93
DNN,4.38
DNOW,1.2
DNUT,14.63
DO,3.84
DOC,4.25
DOCN,25.96
DOCS,8.78
DOCU,4.91
DOGZ,0.04
DOLE,3
DOMA,6.3
DOMH,0.59
DOMO,4.82
DOOO,6.14
DOOR,2.63
DORM,1.38
DOUG,2.48
DOV,1.21
DOW,1.46
DOX,1.3
DPCS,0.03
DPRO,2.09
DPSI,0.16
DPZ,3.45
DRCT,3
DRH,4.51
DRI,4.69
